"subn","word1","word2","trial","list","jol","jolrt","jolrank","jolrankp","practice","honor","choice","choicert","restudyresp","restudyacc","restudyrtfirst","restudyrt","response","testacc","rtfirst","rt"
"1368","find","clown",14,1,19,3.168,31,0.775,0,1,0,0.79,NA,NA,NA,NA,"skip",0,8.417,11.788
"1368","capital","figure",33,1,15,2.112,27,0.675,1,1,1,0.867,NA,NA,NA,NA,"skip",0,3,3.755
"1368","link","crisis",38,1,4,3.02,3,0.075,1,0,0,0.867,NA,NA,NA,NA,"skip",0,1.527,2.273
"1368","glue","force",13,1,6,3.13,7,0.175,1,0,0,0.662,NA,NA,NA,NA,"skip",0,11.223,11.935
"1368","port","cinema",20,1,14,3.677,24,0.6,1,1,1,0.996,NA,NA,NA,NA,"cinema",1,1.315,2.783
"1368","replace","roach",25,1,6,2.437,9,0.225,1,0,0,1.975,NA,NA,NA,NA,"skip",0,3.159,3.849
"1368","bullet","walkway",40,1,5,5.384,6,0.15,1,1,1,2.145,NA,NA,NA,NA,"walkway",1,1.033,5.93
"1368","mill","feast",31,1,10,2.188,17,0.425,0,1,0,0.609,NA,NA,NA,NA,"skip",0,8.114,8.958
"1368","want","ascent",26,1,6,3.247,10,0.25,1,0,0,2.24,NA,NA,NA,NA,"skip",0,2.316,3.02
"1368","shrink","mafia",30,1,50,3.575,37,0.925,0,0,1,0.629,NA,NA,NA,NA,"skip",0,1.608,2.611
