"subn","word1","word2","jol","jolrt","trial","list","practice","jolrank","jolrankp","restudyresp","restudyacc","restudyrtfirst","restudyrt","response","testacc","rtfirst","rt"
"1511","collect","loyalty",25,2.247,38,1,0,26,0.65,NA,NA,NA,NA,"SKIP",0,9.09,9.579
"1511","smother","surgery",7,2.287,20,1,0,4,0.1,NA,NA,NA,NA,"surgery",1,7.54,10.551
"1511","rock","milk",11,1.747,39,1,1,7,0.175,NA,NA,NA,NA,"SKIP",0,6.953,7.721
"1511","chicken","beet",48,3.803,6,1,1,31,0.775,NA,NA,NA,NA,"beet",1,5.725,7.589
"1511","nerve","bumper",19,2.233,2,1,1,15,0.375,NA,NA,NA,NA,"SKIP",0,5.449,5.851
"1511","port","cinema",8,1.898,22,1,1,5,0.125,NA,NA,NA,NA,"SKIP",0,5.853,6.361
"1511","copy","bedroom",26,4.196,5,1,0,28,0.7,NA,NA,NA,NA,"bedroom",1,2.536,5.34
"1511","replace","roach",22,3.548,8,1,1,19,0.475,NA,NA,NA,NA,"SKIP",0,9.279,9.819
"1511","need","faucet",3,1.911,1,1,1,1,0.025,NA,NA,NA,NA,"SKIP",0,8.386,8.816
"1511","forest","knob",13,1.907,31,1,0,10,0.25,NA,NA,NA,NA,"knob",1,3.265,5.131
"1511","fee","chowder",18,2.184,14,1,0,14,0.35,NA,NA,NA,NA,"chowder",1,4.879,7.459
"1511","plant","worm",67,34.56,23,1,0,36,0.9,NA,NA,NA,NA,"worm",1,2.506,4.4
"1511","date","laugh",18,1.87,13,1,1,13,0.325,NA,NA,NA,NA,"SKIP",0,6.373,7.005
"1511","pea","bathtub",61,2.067,15,1,1,33,0.825,NA,NA,NA,NA,"SKIP",0,6.027,6.469
"1511","bullet","walkway",23,1.898,18,1,0,22,0.55,NA,NA,NA,NA,"walkway",1,5.932,8.527
"1511","mill","feast",7,2.6,3,1,1,3,0.075,NA,NA,NA,NA,"SKIP",0,2.64,3.247
"1511","link","crisis",24,2.421,37,1,1,23,0.575,NA,NA,NA,NA,"SKIP",0,17.222,17.885
"1511","glue","force",60,16.552,40,1,0,32,0.8,NA,NA,NA,NA,"force",1,6.703,8.847
"1511","visit","glove",20,5.76,28,1,0,16,0.4,NA,NA,NA,NA,"glove",1,4.864,7.123
"1511","process","joker",23,1.613,10,1,1,21,0.525,NA,NA,NA,NA,"SKIP",0,7.317,7.751
"1511","bias","sirloin",80,2.082,11,1,1,39,0.975,NA,NA,NA,NA,"sirloin ",0,5.404,9.143
"1511","bleach","ruin",64,2.022,9,1,0,34,0.85,NA,NA,NA,NA,"ruin",1,8.651,12.446
"1725","port","cinema",30,1.918,27,1,1,11,0.275,NA,NA,NA,NA,"cinema",1,25.222,28.314
"1725","glue","force",86,2.784,11,1,1,39,0.975,NA,NA,NA,NA,"force",1,2.308,4.525
"1725","want","ascent",35,2.399,9,1,0,14,0.35,NA,NA,NA,NA,"skip",0,31.171,33.336
"1725","rock","milk",16,5.15,36,1,0,2,0.05,NA,NA,NA,NA,"milk",1,12.74,15.846
"1725","fan","feature",29,4.814,4,1,0,8,0.2,NA,NA,NA,NA,"skip",0,27.734,30.336
"1725","risk","zero",93,3.422,26,1,0,40,1,NA,NA,NA,NA,"zero",1,2.908,5.703
"1725","knock","otter",22,2.15,29,1,1,5,0.125,NA,NA,NA,NA,"skip",0,83.546,85.88
"1725","bleach","ruin",72,2.773,15,1,0,30,0.75,NA,NA,NA,NA,"ruin",1,28.096,31.342
"1725","pea","bathtub",29,1.782,39,1,0,10,0.25,NA,NA,NA,NA,"bathtub",1,26.796,30.511
"1725","process","joker",38,1.966,28,1,1,19,0.475,NA,NA,NA,NA,"skip",0,3.476,5.712
"1725","climax","saucer",18,2.126,37,1,1,3,0.075,NA,NA,NA,NA,"saucer",1,11.684,14.119
"1725","forest","knob",38,2.824,25,1,0,18,0.45,NA,NA,NA,NA,"skip",0,1.82,3.909
"1725","bias","sirloin",73,2.31,21,1,0,32,0.8,NA,NA,NA,NA,"sirloin",1,18.3,21.567
"1725","grip","beach",70,1.867,22,1,0,28,0.7,NA,NA,NA,NA,"skip",0,41.98,44.319
"1725","banner","glide",60,1.614,31,1,1,23,0.575,NA,NA,NA,NA,"skip",0,37.251,41.552
"1725","shrink","mafia",81,2.383,33,1,1,37,0.925,NA,NA,NA,NA,"mafia",1,6.866,15.135
"1725","need","faucet",61,5.005,24,1,0,24,0.6,NA,NA,NA,NA,"faucet",1,15.79,19.455
"1725","remind","foam",62,2.054,6,1,1,25,0.625,NA,NA,NA,NA,"skip",0,25.89,28.23
"1725","find","clown",19,2.694,20,1,0,4,0.1,NA,NA,NA,NA,"skip",0,2.934,5.143
"1725","nerve","bumper",37,1.991,30,1,1,17,0.425,NA,NA,NA,NA,"bumper",1,29.38,33.175
"1725","prison","loaf",29,2.311,5,1,1,9,0.225,NA,NA,NA,NA,"clown",0,31.768,34.535
"1725","calf","annoy",39,2.558,32,1,0,20,0.5,NA,NA,NA,NA,"milk",0,3.148,5.079
"1725","chicken","beet",81,2.695,10,1,0,36,0.9,NA,NA,NA,NA,"beet",1,18.318,20.638
"1725","bullet","walkway",68,2.023,13,1,1,27,0.675,NA,NA,NA,NA,"walkway",1,15.802,19.088
"1725","collect","loyalty",31,3.255,12,1,0,12,0.3,NA,NA,NA,NA,"loyalty",1,17.881,22.191
"1725","caring","skirt",49,6.999,17,1,0,22,0.55,NA,NA,NA,NA,"skip",0,1.672,3.815
