subn,word1,word2,jol,jolrt,trial,list,practice,jolrank,jolrankp,restudyresp,restudyacc,restudyrtfirst,restudyrt,response,testacc,rtfirst,rt
31,pork,emperor,56,1.69861197,35,5,1,22,0.55,emperor,1,1.310288014,3.483782042, ,0,16.04910691,16.3371246
31,nerve,bumper,63,0.948538281,36,5,1,26,0.65,bumper,1,1.382760865,3.262809141, ,0,44.04072619,44.23268987
31,replace,roach,63,1.148789671,37,5,0,25,0.625,,,,,roach,1,2.485497315,15.0612017
31,pea,bathtub,42,2.182014586,38,5,0,11,0.275,,,,,bathtub,1,1.868163564,4.78812337
31,rock,milk,71,1.448711958,39,5,1,32,0.8,milk,1,1.699720097,3.005925838,milk,1,1.408886064,4.200854686
31,caring,skirt,52,5.5164646,40,5,0,17,0.425,,,,,skirt,1,3.344016799,4.815983086
32,anger,decay,35,0.748660224,1,5,1,7,0.175,decay,1,1.496318161,2.560651162,skip,0,4.652263997,87.63380172
32,plant,worm,51,1.015404743,2,5,0,16,0.4,,,,,soil,0,13.15396949,14.08172019
32,calf,annoy,51,0.732044398,3,5,1,17,0.425,annoy,1,10.76211396,13.10597263,annoy,1,6.145637199,12.72949586
32,fan,feature,52,1.71562005,4,5,0,22,0.55,,,,,skip,0,6.601012357,7.425008604
32,bias,sirloin,62,1.031792528,5,5,1,35,0.875,sirloin,1,3.182320244,5.303681583,sirloin,1,1.979196381,3.995530283
32,bullet,walkway,60,1.765496071,6,5,0,32,0.8,,,,,skip,0,7.129561807,7.913638505
32,collect,loyalty,38,2.53263942,7,5,1,11,0.275,loyalty,1,1.683289655,3.787657347,loyalty,1,1.386320345,4.490218165
32,glue,force,59,1.448831911,8,5,0,28,0.7,,,,,force,1,1.730096595,2.532789201
32,prison,loaf,56,15.98600455,9,5,1,25,0.625,loaf,1,1.328103055,2.000233493,loaf,1,1.278332555,2.078386822
32,climax,saucer,66,0.96537894,10,5,1,39,0.975,saucer,1,1.543737377,2.783751477,saucer,1,5.545010361,7.033084756
32,need,faucet,64,2.282153431,11,5,1,37,0.925,faucet,1,2.816307666,4.04335266,faucet,1,3.593651245,5.161561206
32,copy,bedroom,71,1.28181538,12,5,0,40,1,,,,,bedroom,1,1.898668033,3.496290257
32,pork,emperor,62,1.131801155,13,5,0,36,0.9,,,,,emperor,1,3.492683309,10.97253799
32,risk,zero,49,0.881792736,14,5,0,14,0.35,,,,,zero,1,13.11993793,14.29600615
32,bacon,feud,58,1.348818793,15,5,1,27,0.675,feud,1,1.691162335,2.635265218,feud,1,1.706387147,2.530415466
32,fee,chowder,60,0.498375013,16,5,0,30,0.75,,,,,skip,0,19.72962223,20.84139562
32,grip,beach,53,0.982045761,17,5,1,23,0.575,beach,1,1.62726649,2.725514622,beach,1,1.629355095,3.069406015
32,banner,glide,58,1.49861941,18,5,0,26,0.65,,,,,glide,1,4.69683672,5.688853387
32,bleach,ruin,60,0.88165867,19,5,1,29,0.725,ruin,1,2.135533189,4.695529097,ruin,1,1.405100147,2.077124422
32,rock,milk,37,1.398879877,20,5,1,9,0.225,milk,1,2.601454326,3.385577851,milk,1,16.76316082,19.48303281
32,knock,otter,33,1.098756491,21,5,1,5,0.125,door,0,7.074125581,7.682031104,skip,0,3.013727637,3.906358217
32,find,clown,60,1.548936438,22,5,1,31,0.775,i dont know,0,67.65131271,73.33102011,skip,0,1.630312479,4.126303814
32,biology,temper,52,64.68349621,23,5,1,19,0.475,temper,1,1.979206324,4.427191183,temper,1,1.46938119,2.413385929
32,pea,bathtub,66,3.299319632,24,5,0,38,0.95,,,,,bathtub,1,4.630276878,9.633390862
32,capital,figure,52,12.55169633,25,5,0,20,0.5,,,,,skip,0,11.5802097,12.23620798
32,replace,roach,35,1.749038366,26,5,0,6,0.15,,,,,skip,0,1.820764233,2.53276675
32,mill,feast,25,1.448613172,27,5,0,2,0.05,,,,,eat,0,2.863253162,4.263267146
32,smother,surgery,50,0.515128432,28,5,1,15,0.375,surgery,1,2.83673186,4.787791092,surgery,1,2.697019216,4.104950141
32,remind,foam,36,9.934477405,29,5,0,8,0.2,,,,,skip,0,3.449950944,4.083565677
32,nerve,bumper,55,40.99321973,30,5,0,24,0.6,,,,,skip,0,44.82063177,45.55860746
32,shrink,mafia,46,4.08296238,31,5,0,12,0.3,,,,,skip,0,1.381922472,1.957950152
32,date,laugh,62,5.48297893,32,5,0,34,0.85,,,,,laugh,1,1.197077108,1.869088875
32,process,joker,52,7.217226434,33,5,1,21,0.525,joker,1,1.651628627,2.379619939,joker,1,8.498156915,9.258190284
32,want,ascent,33,1.03174089,34,5,0,4,0.1,,,,,ascent,1,1.959417821,2.975438047
32,visit,glove,47,5.950004987,35,5,1,13,0.325,glove,1,1.24086468,2.21690891,skip,0,7.485030009,11.94093502
32,link,crisis,37,40.66001255,36,5,0,10,0.25,,,,,information,0,7.045712924,11.05362858
32,chicken,beet,61,1.198687181,37,5,1,33,0.825,beet,1,1.507939232,2.403933004,beet,1,1.278806596,3.518775793
32,caring,skirt,28,25.62205909,38,5,1,3,0.075,skirt,1,3.292302664,4.359813475,skirt,1,2.905686926,3.649623734
32,forest,knob,24,2.548925533,39,5,1,1,0.025,knob,1,2.626515658,3.402517615,tree,0,7.425059279,8.337085787
32,port,cinema,51,1.048953597,40,5,0,18,0.45,,,,,cinema,1,4.199803648,6.127760578
33,glue,force,58,1.348395748,1,5,0,21,0.525,,,,,gun,0,6.457374731,6.975051815
33,fee,chowder,56,2.032516098,2,5,1,10,0.25,bag,0,3.918116561,4.422165317,from,0,1.822768907,2.374813892
33,visit,glove,63,0.898643658,3,5,1,36,0.9,many,0,2.413974472,3.157936297,knee,0,3.124287724,3.772290079
33,remind,foam,61,3.499200256,4,5,1,34,0.85,skip,0,2.580593296,3.444644118,walkway,0,3.35953592,5.111571796
33,pea,bathtub,53,0.982016575,5,5,0,5,0.125,,,,,pod,0,3.384915496,4.041063281
33,find,clown,72,0.898736349,6,5,0,39,0.975,,,,,tree,0,2.514686534,3.266733957
33,bias,sirloin,53,0.681711334,7,5,1,4,0.1,skip,0,2.67216668,3.730715286,knee,0,3.478418268,4.014575239
33,process,joker,45,2.732529345,8,5,0,1,0.025,,,,,fee,0,5.742783263,6.214812776
33,date,laugh,59,0.848398795,9,5,1,24,0.6,laugh,1,2.16512646,4.957059801,laugh,1,3.749696102,4.853654891
33,rock,milk,63,1.382119722,10,5,0,35,0.875,,,,,between,0,2.563558792,3.883534082
33,port,cinema,56,0.731450403,11,5,0,13,0.325,,,,,city,0,2.452211191,3.132237504
33,bleach,ruin,52,0.548230187,12,5,0,3,0.075,,,,,car,0,4.415750482,4.887688264
33,caring,skirt,55,1.082075237,13,5,0,9,0.225,,,,,home,0,2.118325549,2.806367714
33,biology,temper,60,5.049897831,14,5,0,31,0.775,,,,,search,0,9.646705296,11.30808462
33,grip,beach,57,2.248941024,15,5,1,16,0.4,skip,0,5.234668785,10.07812318,fee,0,4.536035412,5.151997131
33,mill,feast,56,1.031975024,16,5,1,12,0.3, temper,0,9.893237084,27.19672045,rock,0,2.672707743,3.696623155
33,banner,glide,57,0.898418504,17,5,0,19,0.475,,,,,place,0,3.461265589,4.341306207
33,link,crisis,58,0.865076522,18,5,1,22,0.55,skip,0,4.245250365,5.029307178,bottle,0,3.663639233,4.623727076
33,calf,annoy,57,1.865239454,19,5,1,18,0.45,hurt,0,20.16329316,20.80330007,pain,0,1.80697102,2.406942731
33,knock,otter,64,1.382090215,20,5,0,37,0.925,,,,,caring,0,6.425440259,7.377465744
33,shrink,mafia,54,1.665258761,21,5,1,6,0.15,skip,0,2.127106285,2.934875433,down,0,2.527396368,3.015375156
33,pork,emperor,56,8.217401233,22,5,0,15,0.375,,,,,game,0,2.095949673,3.094605465
33,climax,saucer,56,1.282102755,23,5,0,11,0.275,,,,,hard,0,13.37224351,22.3677192
33,copy,bedroom,56,0.848474488,24,5,1,14,0.35,skip,0,10.90048145,11.6444731,yard,0,4.760822459,7.888823672
33,anger,decay,60,3.215644265,25,5,0,29,0.725,,,,,tree,0,3.300391106,4.1804561
33,bullet,walkway,59,1.981978408,26,5,0,27,0.675,,,,,walkway,1,1.269978851,3.158004851
33,want,ascent,59,1.582015741,27,5,0,25,0.625,,,,,yellow,0,3.373155363,4.327926995
33,smother,surgery,69,1.68214753,28,5,1,38,0.95,skip,0,1.991475593,5.607406464,bird,0,1.723180477,3.043215424
33,chicken,beet,58,3.932559429,29,5,0,23,0.575,,,,,yarn,0,4.402029045,5.090041381
33,prison,loaf,60,1.0154737,30,5,1,30,0.75,skip\,0,7.167952106,8.133493336,break,0,3.375744671,4.255787213
33,replace,roach,73,2.332191742,31,5,1,40,1,skip,0,6.515755783,7.492805507,reduce,0,2.363930975,4.259727784
33,forest,knob,59,0.881786963,32,5,1,28,0.7,skip,0,7.369548965,8.241543669,log,0,6.225878193,6.770067695
33,risk,zero,57,0.848393343,33,5,0,17,0.425,,,,,free,0,1.293339389,1.905237695
33,nerve,bumper,57,4.633163463,34,5,1,20,0.5,skip,0,9.882201348,12.41820043,endings,0,1.43991639,2.471952857
33,plant,worm,61,0.981821249,35,5,1,32,0.8,skip,0,7.5431514,8.38317525,away,0,4.125774018,5.517815321
33,fan,feature,50,1.598765953,36,5,1,2,0.05,skip,0,2.862813439,3.726826094,gaming,0,3.713567997,5.625586708
33,need,faucet,54,1.715568733,37,5,0,7,0.175,,,,,ready,0,2.592023534,3.856058813
33,collect,loyalty,54,0.948671706,38,5,1,8,0.2,loin,0,4.390189973,5.590971852,computer,0,1.862216637,3.806219534
33,capital,figure,59,1.431836981,39,5,1,26,0.65,gain,0,5.144250035,5.912280527,gain,0,1.149983226,1.67800471
33,bacon,feud,61,0.681678941,40,5,0,33,0.825,,,,,feud,1,6.214063856,7.078089769
35,smother,surgery,100,1.165264374,1,5,1,36,0.9,skip,0,4.01223014,4.684258265,skip,0,3.357209134,4.011123295
35,fan,feature,1,19.05368567,2,5,0,1,0.025,,,,,skip,0,3.343973821,4.054730616
35,climax,saucer,37,0.881746551,3,5,1,6,0.15,skip,0,1.721772004,4.281746102,skip,0,4.276608301,5.020689759
35,chicken,beet,60,0.831599511,4,5,0,13,0.325,,,,,beet,1,1.212952364,1.720793772
35,fee,chowder,27,1.148589214,5,5,0,5,0.125,,,,,skip,0,2.851807531,3.764250028
35,forest,knob,100,2.36546156,6,5,0,35,0.875,,,,,knob,1,2.36690357,3.102909325
35,replace,roach,81,1.615595065,7,5,1,18,0.45,skip,0,2.871986686,3.918386296,skip,0,3.72001696,4.27204878
35,process,joker,100,0.68180595,8,5,1,40,1,skip,0,4.673651347,5.265683539,skip,0,1.652970569,2.301193026
