subn,word1,word2,jol,jolrt,trial,list,practice,jolrank,jolrankp,restudyresp,restudyacc,restudyrtfirst,restudyrt
14,caring,skirt,60,1.215216535,22,4,1,33,0.825,skirt,1,1.766255205,4.494372692
14,want,ascent,17,2.382518366,23,4,0,8,0.2,,,,
14,find,clown,26,8.11756695,24,4,0,14,0.35,,,,
14,smother,surgery,27,2.782652176,25,4,0,16,0.4,,,,
14,knock,otter,10,2.148802758,26,4,0,2,0.05,,,,
14,bias,sirloin,15,2.782360307,27,4,0,6,0.15,,,,
14,pork,emperor,19,3.315926901,28,4,1,9,0.225,idk,0,7.208782256,8.51128284
14,pea,bathtub,43,3.482813057,29,4,0,20,0.5,,,,
14,remind,foam,15,9.084413785,30,4,1,7,0.175,idk,0,3.576914985,5.384846906
14,nerve,bumper,20,6.683473324,31,4,0,10,0.25,,,,
14,link,crisis,64,2.315590128,32,4,1,35,0.875,crisis,1,1.440763646,3.968783116
14,copy,bedroom,56,2.282207957,33,4,1,31,0.775,bedroom,1,2.629963706,4.421976553
14,banner,glide,25,2.349095782,34,4,0,12,0.3,,,,
14,biology,temper,56,2.682399501,35,4,1,29,0.725,temper,1,1.487360127,2.895320531
14,grip,beach,12,4.983018328,36,4,0,4,0.1,,,,
14,rock,milk,48,2.949042155,37,4,1,23,0.575,milk,1,2.761731229,3.995534076
14,bleach,ruin,70,2.015560492,38,4,0,38,0.95,,,,
14,replace,roach,51,1.915718679,39,4,0,26,0.65,,,,
14,climax,saucer,26,3.015955318,40,4,1,13,0.325,idk,0,2.302335726,5.062383413
15,calf,annoy,83,1.398678449,1,4,1,28,0.7,annoy,1,3.625536628,5.37544161
15,nerve,bumper,29,1.582014663,2,4,1,14,0.35,bumper,1,4.401594881,7.209566461
15,mill,feast,7,2.232211225,3,4,0,3,0.075,,,,
15,bias,sirloin,18,0.781707657,4,4,0,7,0.175,,,,
15,pea,bathtub,100,1.14852185,5,4,0,33,0.825,,,,
15,bullet,walkway,57,1.131907201,6,4,0,21,0.525,,,,
15,forest,knob,21,1.015287453,7,4,1,12,0.3,cinema,0,27.56959265,29.22567211
15,glue,force,100,3.916228197,8,4,1,40,1,force,1,1.738321363,2.706350303
15,bacon,feud,53,0.715098316,9,4,0,17,0.425,,,,
15,visit,glove,9,1.148501323,10,4,0,5,0.125,,,,
15,pork,emperor,56,0.9150232,11,4,1,20,0.5,emporer,0,2.635850142,4.551223904
15,anger,decay,64,1.148424347,12,4,0,23,0.575,,,,
15,port,cinema,20,1.96542779,13,4,1,10,0.25,cinema,1,2.963296193,3.997302309
15,shrink,mafia,65,1.398568437,14,4,0,25,0.625,,,,
15,fan,feature,100,0.848445933,15,4,0,31,0.775,,,,
15,remind,foam,38,3.232509828,16,4,0,15,0.375,,,,
15,caring,skirt,19,1.8487811,17,4,0,9,0.225,,,,
15,prison,loaf,25,1.398694806,18,4,0,13,0.325,,,,
15,plant,worm,100,1.198581972,19,4,1,38,0.95,force,0,41.1113363,41.9673044
15,grip,beach,18,0.698440368,20,4,1,8,0.2,beach,1,7.672560684,8.712653042
15,biology,temper,100,0.831858225,21,4,0,35,0.875,,,,
15,banner,glide,1,0.781783992,22,4,0,1,0.025,,,,
15,knock,otter,10,5.499845887,23,4,1,6,0.15,faucet,0,13.57634858,15.09635996
15,find,clown,100,0.865084958,24,4,1,32,0.8,clown,1,4.674257044,5.602254245
15,copy,bedroom,55,0.881774017,25,4,0,19,0.475,,,,
15,replace,roach,68,1.782101197,26,4,1,26,0.65,rodent,0,8.088024732,15.51509325
15,need,faucet,42,0.715107297,27,4,1,16,0.4,faucet,1,4.157818318,5.57172328
15,collect,loyalty,64,1.19847613,28,4,1,22,0.55,grip,0,10.51842279,11.70236358
15,rock,milk,85,2.632169722,29,4,0,29,0.725,,,,
15,capital,figure,91,1.348566368,30,4,1,30,0.75,figure,1,1.458346149,2.282449033
15,risk,zero,100,0.981884959,31,4,0,37,0.925,,,,
15,smother,surgery,80,2.365813183,32,4,0,27,0.675,,,,
15,bleach,ruin,100,0.765080179,33,4,1,36,0.9,ruin,1,2.028318544,3.157311879
15,climax,saucer,53,1.082165568,34,4,1,18,0.45,saucer,1,6.016137718,7.032152916
