subn,word1,word2,jol,jolrt,trial,list,practice,jolrank,jolrankp
13,risk,zero,100,1.782088804,35,1,0,27,0.675
13,grip,beach,7,1.315274109,36,1,1,16,0.4
13,date,laugh,100,1.748704805,37,1,0,33,0.825
13,calf,annoy,4,1.015206851,38,1,1,18,0.45
13,link,crisis,100,1.131830021,39,1,0,35,0.875
13,shrink,mafia,67,0.915136643,40,1,0,25,0.625
13,banner,glide,12,7.717076172,1,2,1,12,0.3
13,caring,skirt,13,2.698953869,2,2,1,22,0.55
13,chicken,beet,92,1.465223545,3,2,0,31,0.775
13,prison,loaf,5,1.382111383,4,2,0,3,0.075
13,fee,chowder,7,1.665255233,5,2,1,2,0.05
13,glue,force,48,1.598836514,6,2,0,29,0.725
13,replace,roach,6,1.031892275,7,2,0,21,0.525
13,grip,beach,5,1.86543061,8,2,1,16,0.4
13,pea,bathtub,7,2.748927072,9,2,1,6,0.15
13,bacon,feud,16,3.199102849,10,2,1,30,0.75
13,fan,feature,32,3.265785211,11,2,1,28,0.7
13,remind,foam,14,3.149027654,12,2,1,10,0.25
13,collect,loyalty,89,1.231811707,13,2,1,34,0.85
13,mill,feast,3,1.248594634,14,2,0,1,0.025
13,link,crisis,93,1.215257783,15,2,0,35,0.875
13,want,ascent,8,0.948502359,16,2,0,17,0.425
13,capital,figure,100,0.915152359,17,2,1,32,0.8
13,find,clown,100,1.048727481,18,2,1,38,0.95
13,knock,otter,3,1.565324864,19,2,1,8,0.2
13,forest,knob,13,1.448552875,20,2,0,19,0.475
13,process,joker,17,0.881929368,21,2,0,7,0.175
13,risk,zero,100,1.215239822,22,2,0,27,0.675
13,need,faucet,7,1.398613669,23,2,1,4,0.1
13,visit,glove,13,1.248629594,24,2,0,15,0.375
13,copy,bedroom,56,0.448181467,25,2,1,24,0.6
13,shrink,mafia,100,0.965191312,26,2,0,25,0.625
13,pork,emperor,10,0.831750255,27,2,0,11,0.275
13,anger,decay,82,0.531691337,28,2,1,40,1
13,climax,saucer,1,1.215160922,29,2,0,5,0.125
13,port,cinema,24,1.03185924,30,2,1,14,0.35
13,bias,sirloin,15,11.15128753,31,2,0,9,0.225
13,bleach,ruin,100,0.931811804,32,2,1,36,0.9
13,rock,milk,66,0.715022847,33,2,0,39,0.975
13,bullet,walkway,84,1.798958007,34,2,0,37,0.925
13,smother,surgery,4,1.732026437,35,2,0,13,0.325
13,plant,worm,100,0.965128769,36,2,1,26,0.65
13,calf,annoy,5,1.865295902,37,2,1,18,0.45
13,nerve,bumper,12,0.831586361,38,2,0,23,0.575
13,date,laugh,99,1.131820079,39,2,0,33,0.825
13,biology,temper,7,1.932277827,40,2,1,20,0.5
13,replace,roach,38,2.01545606,1,3,0,21,0.525
13,grip,beach,23,0.831805742,2,3,1,16,0.4
13,pork,emperor,18,0.965201896,3,3,0,11,0.275
13,prison,loaf,12,0.965051152,4,3,0,3,0.075
13,pea,bathtub,16,0.965121713,5,3,1,6,0.15
13,fee,chowder,11,1.031837109,6,3,1,2,0.05
13,glue,force,85,1.081954321,7,3,0,29,0.725
13,process,joker,16,1.715390085,8,3,0,7,0.175
13,smother,surgery,19,0.915165188,9,3,0,13,0.325
13,biology,temper,29,1.682040405,10,3,1,20,0.5
13,banner,glide,18,1.01513629,11,3,1,12,0.3
13,plant,worm,79,1.5317805,12,3,1,26,0.65
